No of components        3
Discretization length in eV   0.0100
Number of Bins      201
Excitation energy in eV   Re(Coupling element)   Im(Coupling element) in 1/ps
============================================================================
Friction component for    1   1
   0.780000E+000       -0.195308E-001   0.153590E+000
   0.790000E+000       -0.382709E-001   0.106718E+000
   0.800000E+000       -0.536658E-001   0.415971E-001
   0.810000E+000       -0.936587E-001   0.810595E-003
   0.820000E+000       -0.118584E+000  -0.163767E-001
   0.830000E+000       -0.565674E-001  -0.868985E-001
   0.840000E+000        0.197719E-001  -0.137262E+000
   0.850000E+000        0.178822E-001  -0.765160E-001
   0.860000E+000        0.541757E-002  -0.728316E-001
   0.870000E+000        0.472591E-001  -0.959648E-001
   0.880000E+000        0.883575E-001  -0.775914E-001
   0.890000E+000        0.851648E-001  -0.584086E-001
   0.900000E+000        0.511051E-001  -0.324554E-001
   0.910000E+000        0.165560E-001  -0.745959E-001
   0.920000E+000       -0.533484E-002  -0.167750E+000
   0.930000E+000       -0.119972E-001  -0.189500E+000
   0.940000E+000       -0.266299E-001  -0.809881E-001
   0.950000E+000       -0.215290E-001  -0.196552E-001
   0.960000E+000        0.270790E-002  -0.841820E-001
   0.970000E+000        0.142281E-001  -0.861911E-001
   0.980000E+000        0.220925E-001   0.160931E-001
   0.990000E+000        0.934719E-002   0.541621E-001
   0.100000E+001       -0.280418E-001   0.489205E-002
   0.101000E+001       -0.315189E-001  -0.583518E-001
   0.102000E+001       -0.246739E-001  -0.830061E-001
   0.103000E+001       -0.230267E-001  -0.564324E-001
   0.104000E+001        0.276643E-002  -0.628996E-001
   0.105000E+001        0.521998E-001  -0.624556E-001
   0.106000E+001        0.523901E-001  -0.489255E-001
   0.107000E+001       -0.340834E-001  -0.213440E-001
   0.108000E+001       -0.774776E-001   0.952324E-002
   0.109000E+001       -0.122030E-001   0.254794E-001
   0.110000E+001        0.537928E-001   0.445580E-001
   0.111000E+001        0.764952E-001   0.565287E-001
   0.112000E+001        0.786283E-001   0.600797E-001
   0.113000E+001        0.632091E-001   0.490990E-001
   0.114000E+001        0.563205E-001   0.423447E-001
   0.115000E+001        0.342341E-001   0.490062E-001
   0.116000E+001       -0.248273E-001   0.609271E-001
   0.117000E+001       -0.597355E-001   0.837643E-001
   0.118000E+001       -0.149215E-001   0.690374E-001
   0.119000E+001       -0.129028E-002   0.426637E-001
   0.120000E+001       -0.187284E-001   0.881258E-001
   0.121000E+001       -0.129657E-001   0.109934E+000
   0.122000E+001       -0.159279E-001   0.609052E-001
   0.123000E+001       -0.262739E-001   0.627752E-001
   0.124000E+001       -0.203553E-001   0.102822E+000
   0.125000E+001       -0.492671E-002   0.774168E-001
   0.126000E+001        0.189604E-002   0.174976E-001
   0.127000E+001       -0.439440E-002  -0.187061E-001
   0.128000E+001        0.172542E-001  -0.506877E-001
   0.129000E+001        0.364647E-001  -0.551781E-001
   0.130000E+001        0.287064E-001   0.568317E-003
   0.131000E+001        0.247194E-001   0.545999E-001
   0.132000E+001        0.179787E-001   0.599903E-001
